question,answer
"How to get the moodle id and password","If you have filled the college registration form at the time of admisstion then you will get the email from university"
"i am not filled college registration form","her is the link to fill university registration form https://admissions.mitsweb.in."
"i am forget or lost my moodle id","contact to your class cordinator for moodle id or check from this link"
"i am forget or lost my moodle password","Lost my password or forget password option are avilable on both the moodle steps for retrive password click on forget/lost password then put your university emai id in the last feald then chek your university emai id for the new password link"
"I am able to login in Moodle but courses are not visible","Contact your course faculty he/she will enroll you in there courses or contact your class coordinator"
"Query regarding change of Date of birth email phone or profile correction","Contact students section or mail (along with proof) to goffice@mitsgwalior.in ,07512409325."
"Query regarding change of email, phone or profile correction","Contact students section or mail (along with proof) to goffice@mitsgwalior.in ,07512409325."
"Query regarding Moodle and IMS password","Open the concerning portal and use forgot password in both the portal."
"I forgot my password not able to login","Open the concerning portal and use forgot password in both the portal."
"I am not getting any email for IMS registrations","Right now IMS registration is not open. There will be a notification on the website, as the registrations start, keep visiting the university website for the same."
"when the IMS registrations are started","Right now IMS registration is not open. There will be a notification on the website, as the registrations start, keep visiting the university website for the same."
"I am not getting any email for Moodle or university email id","All the admitted students (except they college level counselling admitted) Moodle ID has been created by university please contact your class coordinator for Moodle ID /email ID and the default password is your phone number."
"what is the Moodle website address","In the University we have 2 Moodle servers http://moodle.mitsgwalior.in for before 2024 admitted students and https://moodle.mitseb.in for 2024 admitted students."
"I don't khow my email id or i am not geting any email for email id","All the newly admitted students Moodle ID has been created by university please contact your class coordinator for Moodle ID /email ID and the default password is your phone number."
"How do I get my Moodle ID and password?","If you've completed the college registration form during admission, you should receive an email from the university with your Moodle ID and password."
"I haven't filled out the college registration form. What should I do?","Please fill out the university registration form at this link: University Registration Form."
"I've forgotten or lost my Moodle ID. How can I retrieve it?","Contact your class coordinator to get your Moodle ID, or check the provided link."
"I've forgotten or lost my Moodle password. How do I reset it?","Use the “Forgot Password” option on the Moodle login page. Enter your university email ID in the last field, then check your email for the password reset link."
"I can log in to Moodle, but my courses are not visible.","Contact your course faculty to enroll you in their courses or reach out to your class coordinator."
"How can I change my date of birth, email, phone number, or make a profile correction?","Contact the student section, or email goffice@mitsgwalior.in with proof for any profile corrections. You may also call 07512409325 for assistance."
...
